MEDIA_ID,MEDIA_NAME,CNT,TIME(2023/11/15 11:41:43.055),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,KB,KBS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSRV,HR,HRV,HRP,IBI,TTL0,TTL1,TTL2,TTL3,TTL4,TTL5,TTL6,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,VID_FRAME,
0,ASRF study,20,0.32373,1686856412981,0.46302,0.39833,0.04834,0.27539,2,1,0.46740,0.43043,0,-0.79766,0.09668,0, ,0,,0.39383,0.63058,11.98469,1.00000,0,0.57024,0.58715,8.93387,1.00000,0,0,0.00000,16,4.95219,0,4.13265,0,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
0,ASRF study,59,0.95410,1686862719307,0.50025,0.34697,0.58203,0.37207,3,1,0.48165,0.25520,1,-0.79766,0.09668,0, ,0,,0.52755,0.58920,19.52975,1.00000,1,0.70632,0.54535,16.81676,1.00000,1,0,0.00000,16,5.84958,1,5.16997,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,70.97130,47.82018,0,
0,ASRF study,80,1.29395,1686866118752,0.45555,0.33553,0.97070,0.32324,4,1,0.44763,0.37810,0,-0.79766,0.09668,0, ,0,,0.58175,0.58504,17.25778,1.00000,0,0.76345,0.54649,15.80492,1.00000,0,943,0.00000,16,5.21716,0,4.52878,0,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,58.40286,168.42905,0,
0,ASRF study,128,2.07031,1686873880406,0.44338,0.32940,1.55273,0.51758,5,1,0.48318,0.35415,1,-0.79766,0.09668,0, ,0,,0.54544,0.60438,20.43023,1.00000,1,0.72526,0.55059,17.55495,1.00000,1,0,0.00000,16,5.56213,1,4.69782,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,16.79479,158.05264,0,
0,ASRF study,177,2.86279,1686881803189,0.42861,0.33977,2.08643,0.77637,6,1,0.38104,0.33955,1,-0.79766,0.09668,0, ,0,,0.56087,0.59461,22.01973,1.00000,1,0.74226,0.55183,18.66669,1.00000,1,0,0.00000,16,5.95059,1,5.05687,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,21.68366,209.32201,0,
0,ASRF study,203,3.28320,1686886008814,0.38383,0.31494,2.87891,0.40430,7,1,0.40527,0.30146,1,-0.79766,0.09668,0, ,0,,0.55869,0.59531,21.76051,1.00000,1,0.74010,0.55231,18.34944,1.00000,1,0,0.00000,16,5.98230,1,4.94841,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,62.70463,156.07835,0,
0,ASRF study,271,4.38330,1686897012031,0.41055,0.36627,3.63867,0.74463,8,1,0.29399,0.30655,1,-0.79766,0.09668,0, ,0,,0.55780,0.59791,18.55183,1.00000,1,0.73774,0.55304,13.88824,1.00000,1,0,0.00000,17,5.26696,1,4.20811,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,62.70969,303.05170,0,
0,ASRF study,293,4.73926,1686900569338,0.35305,0.31947,4.39893,0.34033,9,1,0.40699,0.29997,1,-0.79766,0.09668,0, ,0,,0.55886,0.59975,19.12081,1.00000,1,0.73867,0.55482,14.95600,1.00000,1,0,0.00000,17,5.31605,1,4.22027,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,87.82710,146.93063,0,
0,ASRF study,365,5.90332,1686912213118,0.39970,0.32968,4.75488,1.14844,10,1,0.41225,0.36424,1,-0.79766,0.09668,0, ,0,,0.55796,0.59894,20.47058,1.00000,1,0.73845,0.55468,15.50463,1.00000,1,0,0.00000,16,5.64678,1,4.44377,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,60.62036,350.06866,0,
0,ASRF study,416,6.72998,1686920477054,0.41396,0.32464,5.91943,0.81055,11,1,0.44258,0.39322,0,-0.79766,0.09668,0, ,0,,0.55995,0.60007,14.94044,1.00000,0,0.74078,0.55901,9.66576,1.00000,0,945,0.00000,16,5.26057,0,3.55395,0,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,18.96846,15.78811,0,
