MEDIA_ID,MEDIA_NAME,CNT,TIME(2023/11/15 11:05:10.356),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,KB,KBS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSRV,HR,HRV,HRP,IBI,TTL0,TTL1,TTL2,TTL3,TTL4,TTL5,TTL6,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,VID_FRAME,
0,ASRF study,15,0.24268,1664929136188,0.47217,0.71148,0.00000,0.24267,1,1,0.43046,0.50913,1,-0.79141,0.12207,0, ,0,,0.39537,0.62780,20.25607,1.00000,1,0.57370,0.58958,20.24979,1.00000,1,0,0.00000,22,5.73953,1,5.57487,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,0.00000,0.00000,0,
0,ASRF study,56,0.90576,1664935767749,0.43815,0.51350,0.30713,0.59863,2,1,0.46154,0.41250,1,-0.79141,0.12207,0, ,0,,0.48937,0.60071,20.00240,1.00000,1,0.66873,0.56087,20.25191,1.00000,1,0,0.00000,22,5.84945,1,5.87022,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,207.35551,102.12262,0,
0,ASRF study,76,1.22900,1664939000254,0.41874,0.45792,0.92188,0.30713,3,1,0.42856,0.54907,0,-0.79141,0.12207,0, ,0,,0.55198,0.58761,18.89430,1.00000,0,0.73523,0.56168,19.02152,1.00000,0,359,0.00000,21,5.76961,0,5.78882,0,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,62.10035,113.58286,0,
0,ASRF study,117,1.89258,1664945635817,0.40797,0.37418,1.43945,0.45312,4,1,0.36421,0.37883,1,-0.79141,0.12207,0, ,0,,0.54769,0.59019,19.53447,1.00000,1,0.73036,0.55826,19.14630,1.00000,1,0,0.00000,22,5.38897,1,5.36010,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,86.85084,99.13303,0,
0,ASRF study,151,2.44214,1664951131430,0.40629,0.36385,1.90845,0.53369,5,1,0.36115,0.37314,1,-0.78594,0.19336,0, ,0,,0.53035,0.59540,19.77609,1.00000,1,0.71208,0.55662,20.00096,1.00000,1,0,0.00000,22,5.40478,1,5.46977,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,10.79428,101.49111,0,
0,ASRF study,159,2.57153,1664952426151,0.37318,0.35706,2.45850,0.11304,6,1,0.37564,0.33553,0,-0.80078,0.22168,0, ,0,,0.53066,0.59627,18.83426,1.00000,0,0.71257,0.55679,19.06062,1.00000,0,360,0.00000,22,5.36835,0,5.40339,0,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,42.94736,170.68309,0,
0,ASRF study,218,3.52612,1664961971310,0.40772,0.38765,2.78174,0.74438,7,1,0.33364,0.40808,1,-0.85547,0.30078,0, ,0,,0.54831,0.58983,18.33709,1.00000,1,0.73135,0.55798,18.78229,1.00000,1,0,0.00000,23,5.01161,1,5.19728,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,54.18333,324.68195,0,
0,ASRF study,225,3.63916,1664963102941,0.31847,0.39948,3.54224,0.09692,8,1,0.28367,0.40268,0,-0.85625,0.29590,0, ,0,,0.54826,0.58990,17.77022,1.00000,0,0.73139,0.55834,18.54406,1.00000,0,361,0.00000,23,5.07812,0,5.24805,0,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,114.88046,186.05298,0,
0,ASRF study,261,4.22119,1664968921540,0.42376,0.36728,3.89795,0.32324,9,1,0.44068,0.39098,1,-0.85625,0.29102,0, ,0,,0.54453,0.59473,18.43486,1.00000,1,0.72736,0.56005,18.39809,1.00000,1,0,0.00000,23,5.09236,1,5.18595,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,138.74609,13.74779,0,
0,ASRF study,304,4.91699,1664975880707,0.46365,0.35615,4.23779,0.67920,10,1,0.32769,0.37718,1,-0.85625,0.29102,0, ,0,,0.54813,0.59319,19.01454,1.00000,1,0.73180,0.56111,18.78110,1.00000,1,0,0.00000,23,5.18549,1,5.12970,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,52.31574,12.58294,0,
0,ASRF study,324,5.24048,1664979115841,0.32350,0.36346,4.98169,0.25879,11,1,0.31683,0.37037,0,-0.85625,0.29102,0, ,0,,0.54607,0.59373,19.40430,1.00000,0,0.73005,0.56061,19.67819,1.00000,0,362,0.00000,23,5.30411,0,5.39711,0,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,179.54807,182.38937,0,
0,ASRF study,370,5.98462,1664986555841,0.40269,0.35951,5.49927,0.48535,12,1,0.39377,0.33727,1,-0.79297,0.16992,0, ,0,,0.55019,0.58988,17.80631,1.00000,1,0.73405,0.55892,17.78634,1.00000,1,0,0.00000,24,4.83741,1,4.87854,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,101.44383,2.28512,0,
0,ASRF study,442,7.14917,1664998202341,0.44835,0.33959,6.00024,1.14893,13,1,0.31984,0.35804,1,-0.77734,0.13965,0, ,0,,0.55286,0.58982,17.59947,1.00000,1,0.73686,0.55957,18.19574,1.00000,1,0,0.00000,24,4.84122,1,5.07905,1,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,61.90217,19.23971,0,
0,ASRF study,456,7.37524,1665000463660,0.37092,0.33730,7.16479,0.21045,14,1,0.37026,0.39310,0,-0.77734,0.13965,0, ,0,,0.55249,0.58981,17.69981,1.00000,0,0.73661,0.55944,18.08875,1.00000,0,363,0.00000,24,4.86415,0,5.21303,0,0.00000,0,0,0,0,0,0,0.000,1,1,1,1,1,1,1,0,0.00000,0,,99.13815,178.64462,0,
